# Project dataset for the Privacy-Aware Stats Dashboard (U3 L14/L17/L21). 120 members. Contains First_Name/Last_Name/City/Zip_Code/Signup_Date: run the L12 anonymization pass BEFORE you publish anything.
Member_ID,First_Name,Last_Name,Age,City,Zip_Code,Monthly_Visits,Spend_USD,Membership_Tier,Signup_Date
M2001,Jordan,Lindqvist,66,Taichung,40435,2,307.05,Enterprise,2025-10-12
M2002,Riley,Chen,57,Tainan,70014,6,420.44,Premium,2026-01-03
M2003,Casey,Nakamura,35,Kaohsiung,80003,2,58.42,Standard,2026-08-09
M2004,Morgan,Espinoza,41,Hsinchu,30060,2,26.66,Basic,2026-09-01
M2005,Quinn,Park,60,Taoyuan,32074,6,1026.66,Enterprise,2026-07-19
M2006,Hayden,Gomez,61,Taichung,40267,6,436.71,Premium,2026-07-27
M2007,Skyler,Rossi,42,Taichung,40441,1,26.38,Standard,2026-09-07
M2008,Rowan,Ibrahim,51,Tainan,70030,1,18500.0,Basic,2025-10-07
M2009,Emerson,Tran,43,Kaohsiung,80072,1,172.44,Enterprise,2025-12-08
M2010,Finley,Kowalski,55,Hsinchu,30025,2,93.0,Premium,2025-10-08
M2011,Harper,Brennan,29,Taoyuan,32073,2,67.93,Standard,2026-06-30
M2012,Kendall,Moreau,27,Taichung,40201,2,25.51,Basic,2026-05-26
M2013,Logan,Duarte,42,Taichung,40438,3,302.09,Enterprise,2026-05-10
M2014,Marley,Okafor,25,Tainan,70018,1,45.75,Premium,2025-10-17
M2015,Nico,Farah,44,Kaohsiung,80005,1,34.34,Standard,2025-10-10
M2016,Parker,Quintero,20,Hsinchu,30080,2,20.71,Basic,2025-12-14
M2017,Reese,Haddad,31,Taoyuan,32048,9,1673.92,Enterprise,2026-05-30
M2018,Sage,Singh,22,Taichung,40268,1,45.12,Premium,2026-08-07
M2019,Tatum,Jensen,67,Taichung,40435,9,328.76,Standard,2026-09-02
M2020,Avery,Alvarez,55,Tainan,70088,2,22.53,Basic,2026-07-18
M2021,Jordan,Lindqvist,41,Kaohsiung,80081,1,135.83,Enterprise,2026-09-10
M2022,Riley,Chen,21,Hsinchu,30057,2,96.42,Premium,2026-05-01
M2023,Casey,Nakamura,18,Taoyuan,32084,6,136.12,Standard,2026-03-03
M2024,Morgan,Espinoza,49,Taichung,40273,6,55.54,Basic,2026-09-12
M2025,Quinn,Park,21,Taichung,40410,3,444.93,Enterprise,2026-07-23
M2026,Hayden,Gomez,27,Tainan,70077,1,81.05,Premium,2025-12-22
M2027,Skyler,Rossi,60,Kaohsiung,80031,2,42.61,Standard,2025-10-26
M2028,Rowan,Ibrahim,42,Hsinchu,30079,4,44.06,Basic,2025-11-15
M2029,Emerson,Tran,47,Taoyuan,32070,4,547.62,Enterprise,2026-03-03
M2030,Finley,Kowalski,41,Taichung,40285,2,151.6,Premium,2026-06-18
M2031,Harper,Brennan,64,Taichung,40414,4,121.99,Standard,2026-04-08
M2032,Kendall,Moreau,19,Tainan,70014,1,11.91,Basic,2026-04-18
